hour,time
2156,H16
2157,H16
2158,H16
2159,H13
2160,H13
2161,H13
2162,H13
2163,H13
2164,H13
2165,H13
2166,H13
2167,H14
2168,H14
2169,H14
2170,H14
2171,H14
2172,H14
2173,H14
2174,H15
2175,H15
2176,H15
2177,H15
2178,H16
2179,H16
2180,H16
2181,H16
2182,H16
2183,H13
2184,H13
2185,H13
2186,H13
2187,H13
2188,H13
2189,H13
2190,H13
2191,H14
2192,H14
2193,H14
2194,H14
2195,H14
2196,H14
2197,H14
2198,H15
2199,H15
2200,H15
2201,H15
2202,H16
2203,H16
2204,H16
2205,H16
2206,H16
2207,H13
2208,H13
2209,H13
2210,H13
2211,H13
2212,H13
2213,H13
2214,H13
2215,H14
2216,H14
2217,H14
2218,H14
2219,H14
2220,H14
2221,H14
2222,H15
2223,H15
2224,H15
2225,H15
2226,H16
2227,H16
2228,H16
2229,H16
2230,H16
2231,H13
2232,H13
2233,H13
2234,H13
2235,H13
2236,H13
2237,H13
2238,H13
2239,H14
2240,H14
2241,H14
2242,H14
2243,H14
2244,H14
2245,H14
2246,H15
2247,H15
2248,H15
2249,H15
2250,H16
2251,H16
2252,H16
2253,H16
2254,H16
2255,H13
2256,H13
2257,H13
2258,H13
2259,H13
2260,H13
2261,H13
2262,H13
2263,H14
2264,H14
2265,H14
2266,H14
2267,H14
2268,H14
2269,H14
2270,H15
2271,H15
2272,H15
2273,H15
2274,H16
2275,H16
2276,H16
2277,H16
2278,H16
2279,H13
2280,H13
2281,H13
2282,H13
2283,H13
2284,H13
2285,H13
2286,H13
2287,H14
2288,H14
2289,H14
2290,H14
2291,H14
2292,H14
2293,H14
2294,H15
2295,H15
2296,H15
2297,H15
2298,H16
2299,H16
2300,H16
2301,H16
2302,H16
2303,H13
2304,H13
2305,H13
2306,H13
2307,H13
2308,H13
2309,H13
2310,H13
2311,H14
2312,H14
2313,H14
2314,H14
2315,H14
2316,H14
2317,H14
2318,H15
2319,H15
2320,H15
2321,H15
2322,H16
2323,H16
2324,H16
2325,H16
2326,H16
2327,H13
2328,H13
2329,H13
2330,H13
2331,H13
2332,H13
2333,H13
2334,H13
2335,H14
2336,H14
2337,H14
2338,H14
2339,H14
2340,H14
2341,H14
2342,H15
2343,H15
2344,H15
2345,H15
2346,H16
2347,H16
2348,H16
2349,H16
2350,H16
2351,H13
2352,H13
2353,H13
2354,H13
2355,H13
2356,H13
2357,H13
2358,H13
2359,H14
2360,H14
2361,H14
2362,H14
2363,H14
2364,H14
2365,H14
2366,H15
2367,H15
2368,H15
2369,H15
2370,H16
2371,H16
2372,H16
2373,H16
2374,H16
2375,H13
2376,H13
2377,H13
2378,H13
2379,H13
2380,H13
2381,H13
2382,H13
2383,H14
2384,H14
2385,H14
2386,H14
2387,H14
2388,H14
2389,H14
2390,H15
2391,H15
2392,H15
2393,H15
2394,H16
2395,H16
2396,H16
2397,H16
2398,H16
2399,H13
2400,H13
2401,H13
2402,H13
2403,H13
2404,H13
2405,H13
2406,H13
2407,H14
2408,H14
2409,H14
2410,H14
2411,H14
2412,H14
2413,H14
2414,H15
2415,H15
2416,H15
2417,H15
2418,H16
2419,H16
2420,H16
2421,H16
2422,H16
2423,H13
2424,H13
2425,H13
2426,H13
2427,H13
2428,H13
2429,H13
2430,H13
2431,H14
2432,H14
2433,H14
2434,H14
2435,H14
2436,H14
2437,H14
2438,H15
2439,H15
2440,H15
2441,H15
2442,H16
2443,H16
2444,H16
2445,H16
2446,H16
2447,H13
2448,H13
2449,H13
2450,H13
2451,H13
2452,H13
2453,H13
2454,H13
2455,H14
2456,H14
2457,H14
2458,H14
2459,H14
2460,H14
2461,H14
2462,H15
2463,H15
2464,H15
2465,H15
2466,H16
2467,H16
2468,H16
2469,H16
2470,H16
2471,H13
2472,H13
2473,H13
2474,H13
2475,H13
2476,H13
2477,H13
2478,H13
2479,H14
2480,H14
2481,H14
2482,H14
2483,H14
2484,H14
2485,H14
2486,H15
2487,H15
2488,H15
2489,H15
2490,H16
2491,H16
2492,H16
2493,H16
